time,Bx,By,Bz,BT
6.039729,7.95,34.91,-22.54,42.31
6.049727,7.71,35.03,-22.37,42.27
6.058045,7.93,34.93,-22.58,42.34
6.068065,7.97,35.04,-22.58,42.44
6.078632,7.93,35.18,-22.67,42.59
6.087884,7.88,35.19,-22.46,42.49
6.098486,7.84,35.06,-22.05,42.15
6.108898,7.58,35.16,-21.84,42.08
6.122594,7.33,35.06,-21.90,41.98
6.128307,7.43,35.23,-21.90,42.14
6.138017,7.61,35.19,-21.99,42.19
6.148012,7.59,35.01,-21.88,41.97
6.158368,7.82,34.99,-21.86,41.99
6.168168,7.88,35.18,-21.83,42.14
6.178237,7.93,35.33,-21.94,42.33
6.188160,8.18,35.27,-22.12,42.43
6.198099,8.33,35.46,-22.16,42.63
6.208274,8.14,35.53,-22.18,42.67
6.217704,7.93,35.61,-21.92,42.56
6.228375,7.89,35.49,-21.84,42.42
6.238162,8.12,35.53,-21.92,42.53
6.248748,8.12,35.44,-22.16,42.58
6.258234,8.04,35.59,-22.26,42.74
6.267681,8.10,35.44,-22.26,42.62
6.279670,7.76,35.29,-22.01,42.31
6.288098,7.61,35.14,-21.98,42.14
6.299282,7.41,35.18,-21.94,42.11
6.308372,7.33,35.51,-21.94,42.38
6.320706,6.83,35.31,-21.66,41.98
6.333961,6.75,35.46,-21.41,41.97
6.338285,6.68,35.27,-21.23,41.70
6.348565,6.75,35.49,-21.34,41.96
6.358957,7.07,35.34,-21.28,41.86
6.368140,7.09,35.40,-21.30,41.92
6.380667,7.20,35.34,-21.36,41.92
6.387735,7.29,35.16,-21.13,41.66
6.399018,7.54,35.38,-21.68,42.17
6.408162,7.58,35.18,-21.69,42.02
6.418159,7.44,35.14,-21.92,42.08
6.429858,7.35,35.03,-21.92,41.97
6.438148,7.26,35.12,-22.07,42.11
6.448679,7.22,35.08,-21.99,42.03
6.458190,7.18,35.04,-22.05,42.02
6.467865,7.11,35.01,-22.43,42.18
6.481513,7.20,34.99,-21.98,41.94
6.488491,7.18,35.06,-22.05,42.04
6.498404,7.29,35.19,-21.92,42.10
6.508612,7.46,35.29,-21.90,42.20
6.519355,7.31,35.42,-21.75,42.20
6.529451,7.46,35.62,-21.98,42.52
6.538316,7.50,35.38,-21.99,42.33
6.548468,7.33,35.40,-21.88,42.26
6.558546,7.48,35.23,-22.01,42.21
6.568167,7.31,35.12,-21.94,42.05
6.580672,7.14,35.16,-22.01,42.09
6.588468,6.86,35.01,-22.03,41.93
6.598162,6.96,35.04,-22.12,42.02
6.607725,7.09,34.86,-22.24,41.95
6.621168,6.92,35.08,-21.94,41.95
6.634862,6.96,35.23,-21.94,42.08
6.641094,6.66,35.21,-21.79,41.94
6.648809,6.84,35.38,-21.84,42.14
6.657822,7.26,35.23,-21.71,42.02
6.667758,7.48,35.18,-21.60,41.95
6.678265,7.73,35.01,-21.62,41.86
6.688083,7.84,35.27,-21.36,41.97
6.706544,7.89,35.38,-21.54,42.17
6.708724,7.99,35.34,-21.53,42.15
6.720508,8.10,35.42,-21.54,42.24
6.732877,8.08,35.49,-21.66,42.36
6.737610,7.97,35.44,-21.77,42.35
6.747652,7.84,35.53,-22.14,42.59
6.757811,7.65,35.64,-22.22,42.69
